Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
8cd03e6f-4431-437d-8b4d-5b808f8405e0,"2020-06-22, 03:14:32 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,78.119.153.175
8c5b8be9-328f-491f-8f5c-f818cc40a99e,"2020-06-22, 03:14:31 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::133380358036:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAR6DQWX6KFAM7KEGOC""}]",,us-east-1,,78.119.153.175
9727db00-75f9-4d7a-b102-ee54f4150bae,"2020-06-22, 03:14:31 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,78.119.153.175
e71e12ea-bd82-4f13-91d9-c9fc7c105aef,"2020-06-22, 03:14:31 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,78.119.153.175
b130d4d9-1b69-4eb6-bb9a-c4c62205c9fc,"2020-06-22, 03:09:48 PM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,78.119.153.175
51c0d19f-63b4-4bdd-945a-a5149fd2a118,"2020-06-22, 03:08:31 PM",root,SetIAMAccessPreference,,,,us-east-1,,78.119.153.175
86988de3-e5c3-4178-a8e0-454faf7c8fd5,"2020-06-22, 03:07:22 PM",root,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAR6DQWX6KJCDNCG5G""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacityTest""}]",,us-east-1,,78.119.153.175
ec590336-0579-4361-a244-321bf34305be,"2020-06-22, 03:07:22 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacityTest""}]",,us-east-1,,78.119.153.175
ff5a2b84-b9a9-47b1-b1bc-22077ac69ef5,"2020-06-22, 03:07:21 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAR6DQWX6KNTKZ2Q3ZO""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::133380358036:user/udacityTest""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""udacityTest""}]",,us-east-1,,78.119.153.175
3aaf6d72-1032-4441-a93a-47580986cbcf,"2020-06-22, 02:15:00 PM",root,ConsoleLogin,,,,us-east-1,,78.119.153.175
cd55d3d6-8529-4a96-8865-cde3853fbe8d,"2020-06-18, 02:46:42 PM",root,ConsoleLogin,,,,us-east-1,,78.119.153.175
e17ffe6b-db53-4320-a145-96d1a5e0ce90,"2020-06-18, 02:45:53 PM",root,ConsoleLogin,,,,us-east-1,,78.119.153.175
0a278bde-d71a-437b-8906-df0161d3ed6b,"2020-06-17, 10:11:06 PM",root,ConsoleLogin,,,,us-east-1,,78.119.153.175
8e598a39-4ab2-4196-bc62-8656d31f7ac0,"2020-06-17, 08:23:00 AM",root,ConsoleLogin,,,,us-east-1,,78.119.153.175
fea11489-3ba4-4097-8a38-79ddfc94a3fe,"2020-06-17, 08:22:30 AM",root,ConsoleLogin,,,,us-east-1,,78.119.153.175
cb1a5236-eb6a-4db1-818a-0a0bbb581fbe,"2020-06-16, 08:20:12 PM",root,ConsoleLogin,,,,us-east-1,,78.119.153.175
1b27b88d-b1ea-4dc9-bd07-66f5f061f1ea,"2020-06-16, 06:04:53 AM",root,ConsoleLogin,,,,us-east-1,,78.119.153.175
01ed4cff-18e1-462a-82f2-3956e900e233,"2020-06-15, 04:56:42 PM",root,CreateServiceLinkedRole,,,,us-east-1,InvalidInputException,rds.amazonaws.com
996c966d-b151-4d93-90c0-da69d1bd54aa,"2020-06-15, 04:56:36 PM",root,CreateServiceLinkedRole,,,,us-east-1,,rds.amazonaws.com
226f4964-2251-49f5-94ac-c6337c9691e0,"2020-06-15, 04:56:35 PM",root,AttachRolePolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/service-role/AmazonRDSEnhancedMonitoringRole""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""rds-monitoring-role""}]",,us-east-1,,78.119.153.175
299dc5de-b11d-4469-9c83-f5c04178831c,"2020-06-15, 04:56:34 PM",root,CreateRole,IAM Role,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::133380358036:role/rds-monitoring-role""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROAR6DQWX6KGWPYQTLCP""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""rds-monitoring-role""}]",,us-east-1,,78.119.153.175
3dbea87d-0823-4397-be17-1fd48b47ab56,"2020-06-15, 03:31:04 PM",root,CreateServiceLinkedRole,,,,us-east-1,InvalidInputException,dynamodb.amazonaws.com
